Latitude,Longitude,city,state
36061476,-114978168,Las Vegas, NV--AZ 
38927006,-95256048,Lawrence, KS 
34633961,-98423460,Lawton, OK 
44102473,-70215437,Lewiston--Auburn, ME 
37986787,-84425979,Lexington, KY 
40674882,-84176901,Lima, OH 
40796701,-96681392,Lincoln, NE 
34792579,-92310955,Little Rock--North Little Rock, AR 
32559628,-94678867,Longview--Marshall, TX 
34072160,-117751084,Los Angeles--Riverside--Orange County, CA 
38269020,-85740012,Louisville, KY--IN 
33570085,-101852068,Lubbock, TX 
37345470,-79294102,Lynchburg, VA 
32720028,-83652271,Macon, GA 
43071496,-89393668,Madison, WI 
40791142,-82670894,Mansfield, OH 
18151821,-67108697,Mayagüez, PR 
26242291,-98159799,McAllen--Edinburg--Mission, TX 
42389833,-122785659,Medford--Ashland, OR 
28220079,-80685189,Melbourne--Titusville--Palm Bay, FL 
35141483,-89926108,Memphis, TN--AR--MS 
37245783,-120674118,Merced, CA 
25905072,-80264120,Miami--Fort Lauderdale, FL 
43044012,-88054294,Milwaukee--Racine, WI 
45012514,-93250174,Minneapolis--St. Paul, MN--WI 
46939971,-113968607,Missoula, MT 
30686169,-87993348,Mobile, AL 
37613805,-120958800,Modesto, CA 
32509377,-92115857,Monroe, LA 
32459969,-86277996,Montgomery, AL 
40211893,-85396077,Muncie, IN 
33845971,-78942994,Myrtle Beach, SC 
26155113,-81671313,Naples, FL 
36160289,-86722456,Nashville, TN 
41439540,-72048195,New London--Norwich, CT--RI 
30025253,-90094214,New Orleans, LA 
40811776,-73901596,New York--Northern New Jersey--Long Island, NY--NJ--CT--PA 
36917483,-76330946,Norfolk--Virginia Beach--Newport News, VA--NC 
29142855,-82114602,Ocala, FL 
31920157,-102264150,Odessa--Midland, TX 
35457111,-97462021,Oklahoma City, OK 
41234257,-95997395,Omaha, NE--IA 
28591678,-81452542,Orlando, FL 
37750648,-87105097,Owensboro, KY 
30219170,-85638788,Panama City, FL 
39351442,-81508719,Parkersburg--Marietta, WV--OH 
30545514,-87185781,Pensacola, FL 
40689473,-89533699,Peoria--Pekin, IL 
39860063,-75159337,Philadelphia--Wilmington--Atlantic City, PA--NJ--DE--MD 
33407678,-111990633,Phoenix--Mesa, AZ 
34243795,-91987152,Pine Bluff, AR 
40412241,-79921188,Pittsburgh, PA 
42443864,-73229348,Pittsfield, MA 
42777785,-112346267,Pocatello, ID 
18039645,-66643218,Ponce, PR 
43713739,-70343722,Portland, ME 
45395940,-122759944,Portland--Salem, OR--WA 
41766850,-71413173,Providence--Fall River--Warwick, RI--MA 
40236597,-111736710,Provo--Orem, UT 
38235853,-104623605,Pueblo, CO 
26952873,-82131242,Punta Gorda, FL 
35817134,-78725360,Raleigh--Durham--Chapel Hill, NC 
44045194,-103105497,Rapid City, SD 
40377743,-75914242,Reading, PA 
40688705,-122121202,Redding, CA 
39704166,-119763634,Reno, NV 
46292957,-119279647,Richland--Kennewick--Pasco, WA 
37475047,-77466571,Richmond--Petersburg, VA 
37331785,-79944785,Roanoke, VA 
44007477,-92442548,Rochester, MN 
43051392,-77591890,Rochester, NY 
42237787,-89107306,Rockford, IL 
35935344,-77803274,Rocky Mount, NC 
38707021,-121157197,Sacramento--Yolo, CA 
43503753,-84036793,Saginaw--Bay City--Midland, MI 
45565698,-94411580,St. Cloud, MN 
39792944,-94827349,St. Joseph, MO 
38637701,-90321618,St. Louis, MO--IL 
36450732,-121528953,Salinas, CA 
40833737,-111933968,Salt Lake City--Ogden, UT 
31440631,-100474921,San Angelo, TX 
29481031,-98410025,San Antonio, TX 
32904616,-117062993,San Diego, CA 
37736429,-122186662,San Francisco--Oakland--San Jose, CA 
18334980,-66121554,San Juan--Caguas--Arecibo, PR 
35373909,-120587460,San Luis Obispo--Atascadero--Paso Robles, CA 
34649384,-120071425,Santa Barbara--Santa Maria--Lompoc, CA 
35602793,-106030846,Santa Fe, NM 
27296431,-82453284,Sarasota--Bradenton, FL 
32088005,-81176296,Savannah, GA 
41269531,-75905491,Scranton--Wilkes-Barre--Hazleton, PA 
47502971,-122315892,Seattle--Tacoma--Bremerton, WA 
41294427,-80313128,Sharon, PA 
43729885,-87854504,Sheboygan, WI 
33652301,-96640478,Sherman--Denison, TX 
32573363,-93698321,Shreveport--Bossier City, LA 
42438400,-96281584,Sioux City, IA--NE 
43532728,-96735522,Sioux Falls, SD 
41664783,-86241933,South Bend, IN 
47666905,-117384910,Spokane, WA 
39803100,-89668689,Springfield, IL 
37178348,-93229009,Springfield, MO 
42175992,-72572655,Springfield, MA 
40887275,-77834459,State College, PA 
40377392,-80672586,Steubenville--Weirton, OH--WV 
37945959,-121281307,Stockton--Lodi, CA 
33931693,-80385516,Sumter, SC 
43103012,-76190107,Syracuse, NY 
30490830,-84334863,Tallahassee, FL 
28034164,-82558061,Tampa--St. Petersburg--Clearwater, FL 
39527037,-87346003,Terre Haute, IN 
33421007,-94143681,Texarkana, TX--Texarkana
41567251,-83667019,Toledo, OH 
39039150,-95710259,Topeka, KS 
32178410,-111088624,Tucson, AZ 
36195342,-95991924,Tulsa, OK 
33235600,-87511691,Tuscaloosa, AL 
32334795,-95297019,Tyler, TX 
43184795,-75246900,Utica--Rome, NY 
28793417,-96977127,Victoria, TX 
36234647,-119166093,Visalia--Tulare--Porterville, CA 
31542166,-97166412,Waco, TX 
39078941,-77041057,Washington--Baltimore, DC--MD--VA--WV 
42487586,-92344731,Waterloo--Cedar Falls, IA 
44900795,-89738490,Wausau, WI 
26637745,-80176395,West Palm Beach--Boca Raton, FL 
40018728,-80818914,Wheeling, WV--OH 
37744362,-97270844,Wichita, KS 
33866809,-98630821,Wichita Falls, TX 
41269479,-76995599,Williamsport, PA 
34094120,-78088963,Wilmington, NC 
46482454,-120512943,Yakima, WA 
39927299,-76742183,York, PA 
41024335,-80737186,Youngstown--Warren, OH 
39136954,-121541601,Yuba City, CA 
32684752,-114388951,Yuma, AZ 
